Tune_name,1,1+,1-,2,2+,2-,3,3+,3-,4,4+,5,5+,5-,6,6+,6-,7,7-,r,Other
a_jig.krn.A_scale_dist_dur.txt,67,,,35,,,24,,,8,,32,,,16,,,10,,,
aarons_key.krn.A_scale_dist_dur.txt,48,,,32,,,36,,,16,,26,,,4,,,,30,,
abes_retreat.krn.A_scale_dist_dur.txt,72,,,24,,,12,,,20,,60,,,16,,,,28,,
accidental.krn.A_scale_dist_dur.txt,38,,,74,,,28,,,28,8,48,,,,4,,20,8,,
accordion_crimes.krn.A_scale_dist_dur.txt,52,,,38,,,22,,,8,,118,,,10,,,,,,
acorn_stomp_part2.krn.A_scale_dist_dur.txt,56,,,48,4,,40,,,,,44,,,24,,,16,,,
across_the_black_river.krn.A_scale_dist_dur.txt,72,,,18,,,2,,,20,,38,,,,,,,42,,
adirondack.krn.A_scale_dist_dur.txt,56,,,62,,,58,,,24,,16,,,24,,,,,,
after_midnite.krn.A_scale_dist_dur.txt,80,,,12,,,48,,,20,,80,,,8,,,8,,,
aime_gagnon.krn.A_scale_dist_dur.txt,48,,,56,,,64,,,28,,40,,,,,,20,,,
alices_reel.krn.A_scale_dist_dur.txt,80,,,14,,,40,,,32,,44,,,2,,,,44,,
all_the_rage.krn.A_scale_dist_dur.txt,60,,,44,,,64,,,,,8,,,4,,,4,,,
all_the_way_to_galway.krn.A_scale_dist_dur.txt,64,,,24,,,38,,,42,8,64,,,8,,,8,,,
anchor_steam_reel.krn.A_scale_dist_dur.txt,56,,,24,,,20,,,28,,48,,,52,,,20,,,
andy_de_jarlis.krn.A_scale_dist_dur.txt,54,,,12,,,36,,,12,,48,,,20,,,4,4,,
apple_blossom.krn.A_scale_dist_dur.txt,44,,,44,,,40,,,,,72,,,38,,,2,,,
april_storm.krn.A_scale_dist_dur.txt,88,,,32,,,8,,,12,,16,,,,,,,36,,
argos_reel.krn.A_scale_dist_dur.txt,68,,,32,,,48,,,28,,52,,,8,,,20,,,
arizona.krn.A_scale_dist_dur.txt,38,,,38,,,58,,,56,,46,,,8,,,12,,,
asher.krn.A_scale_dist_dur.txt,90,,,54,,,48,,,24,,24,,,12,,,4,,,
