Tune_name,do,re,me,mi,fa,fi,so,la,le,te,ti,Other
a_jig.krn.diss_A.txt,18,9,,,,,,8,,,,
aarons_key.krn.diss_A.txt,8,16,8,,2,,4,,,4,,
abes_retreat.krn.diss_A.txt,4,12,,,16,,4,16,,20,,
accidental.krn.diss_A.txt,,22,,,16,,,,,8,,
accordion_crimes.krn.diss_A.txt,10,26,,20,,,44,,,,,
acorn_stomp_part2.krn.diss_A.txt,8,40,,16,,,,20,,,16,4
across_the_black_river.krn.diss_A.txt,12,6,,,20,,,,,30,,
adirondack.krn.diss_A.txt,8,40,,18,8,,8,12,,,,
after_midnite.krn.diss_A.txt,,,,8,12,,8,,,,8,
aime_gagnon.krn.diss_A.txt,12,28,,12,26,,,,,,,
alices_reel.krn.diss_A.txt,32,6,12,,8,,12,,2,2,,
all_the_rage.krn.diss_A.txt,12,28,,8,,,,,,,,
all_the_way_to_galway.krn.diss_A.txt,,,,22,32,8,,8,,,,
anchor_steam_reel.krn.diss_A.txt,12,,,8,12,,16,4,,,16,
andy_de_jarlis.krn.diss_A.txt,4,4,,4,,,12,4,,,,
apple_blossom.krn.diss_A.txt,8,40,,4,,,4,14,,,2,
april_storm.krn.diss_A.txt,4,8,4,,4,,8,,,20,,
argos_reel.krn.diss_A.txt,12,8,,16,26,,8,4,,,8,
arizona.krn.diss_A.txt,12,10,,28,20,,16,4,,,8,
asher.krn.diss_A.txt,8,38,,12,,,4,8,,,4,
asturian_way.krn.diss_A.txt,16,8,,12,36,,12,,,16,,
auld_fiddler.krn.diss_A.txt,4,16,,16,28,4,8,4,,,10,
bad_hair.krn.diss_A.txt,16,32,,4,6,,4,12,,4,,
baerendans.krn.diss_A.txt,4,8,8,,20,,,,,,,
bank_of_ireland.krn.diss_A.txt,12,16,,,24,,16,34,,,8,
bank_of_turf.krn.diss_A.txt,8,4,,8,,,8,10,,,6,
banks_of_lough_gowna.krn.diss_A.txt,,4,,,16,,8,,,16,,
banks_of_the_allan.krn.diss_A.txt,14,8,,8,,,4,,,,,
banshee.krn.diss_A.txt,8,16,,8,,,8,16,,,12,
bargenny_bowling_green.krn.diss_A.txt,4,16,2,,8,,,,,4,,
barrowburn_reel.krn.diss_A.txt,4,20,,12,,,12,8,,,,
barters_hill.krn.diss_A.txt,8,16,,,12,,4,4,,16,16,
basket_of_yarn.krn.diss_A.txt,24,20,,24,4,,8,30,,,4,
batchelders.krn.diss_A.txt,16,8,,20,4,8,8,4,,,,
battle_of_waterloo.krn.diss_A.txt,12,8,,,22,,8,2,,26,,
bay_of_fundy.krn.diss_A.txt,4,16,,8,2,,8,16,,,,
beckys_mode.krn.diss_A.txt,12,4,,,4,,,4,,30,,
been_to_the_east_been_to_the_west.krn.diss_A.txt,8,24,,24,14,,,,,,,
behind_the_bush_in_the_garden.krn.diss_A.txt,12,6,,,12,,8,,,4,,
belfast_jig.krn.diss_A.txt,,12,,12,8,,,10,,,2,
belknaps_march.krn.diss_A.txt,14,8,,,12,,4,4,,,,
bell_cow.krn.diss_A.txt,,8,,,4,,,12,,8,,
belle_catherine_la.krn.diss_A.txt,8,16,,16,20,4,,8,,,,
belle_gaspesie.krn.diss_A.txt,10,12,,28,26,8,4,8,,,2,
belle_of_lexington.krn.diss_A.txt,4,36,,16,,,,20,,,,
bells_of_dover.krn.diss_A.txt,8,12,,,4,,8,,,,,
beloeil_reel.krn.diss_A.txt,8,22,,8,20,,8,12,,,8,
bentons_dream.krn.diss_A.txt,8,24,8,,4,,,24,,,,
berkeley_reel.krn.diss_A.txt,4,28,,8,12,,12,8,,,,
bert_ferguson.krn.diss_A.txt,22,21,,4,,,,,,,,
beth_cohens.krn.diss_A.txt,4,,,12,36,,24,,24,12,,16
bibb_county_hoedown.krn.diss_A.txt,4,28,,,24,,,10,,,,
biddy_from_sligo.krn.diss_A.txt,4,2,,12,8,4,,8,,,,
big_bear.krn.diss_A.txt,7,12,8,,12,,10,,12,8,,
big_liza_jane.krn.diss_A.txt,,8,,8,,,,28,,,,
big_scioty.krn.diss_A.txt,8,48,,12,,,12,14,,,8,
bijoux_reel.krn.diss_A.txt,12,4,,20,18,,,2,,,8,
bill_collins_jig.krn.diss_A.txt,4,16,,,,,4,24,,,,
billy_in_the_lowground.krn.diss_A.txt,4,28,,4,,,24,24,,,36,
billy_in_the_lowlands.krn.diss_A.txt,4,28,,4,4,,,16,,,8,
bird_in_the_bush.krn.diss_A.txt,16,16,,32,,,8,20,,,,
black_cat.krn.diss_A.txt,,8,,4,26,,,,,16,,6
black_cat_jig.krn.diss_A.txt,,12,20,,8,,,,8,4,,
black_eyed_susie.krn.diss_A.txt,16,28,,,,,16,24,,,,
black_friday.krn.diss_A.txt,,,24,,16,,,,8,,,
black_jack_grove.krn.diss_A.txt,8,4,,4,28,,28,16,,12,8,
black_rock.krn.diss_A.txt,12,,,,,,8,14,,10,,
black_scoter.krn.diss_A.txt,12,26,4,,20,,8,,4,24,,
blackberry_blossoms.krn.diss_A.txt,,22,,4,8,,,56,,,,
blair_atholl.krn.diss_A.txt,4,24,,,12,,4,4,,20,,
blind_mans_reel.krn.diss_A.txt,,22,,,8,,,,,,16,4
bloom_of_youth.krn.diss_A.txt,10,8,,10,4,,6,22,,,,
blue_bonnets_over_the_border.krn.diss_A.txt,4,8,,20,,,8,16,,,8,
blue_earth_special.krn.diss_A.txt,8,14,8,,16,,,,6,32,,
blue_jig.krn.diss_A.txt,,16,32,,8,12,4,,,12,,
bluejay.krn.diss_A.txt,28,8,,4,6,,,4,,,,
boatman.krn.diss_A.txt,,12,,8,8,,12,20,,,12,
bob_mcquillens_reel.krn.diss_A.txt,4,30,,8,16,,12,4,,,6,
bonaparte_crossing_the_rhine.krn.diss_A.txt,,22,,14,4,,,4,,,12,
bonnie_charlie.krn.diss_A.txt,4,8,12,,24,,,,12,,,
bonnie_isabel_robertson.krn.diss_A.txt,4,12,,20,10,,8,8,,,8,
boot_shuffle.krn.diss_A.txt,,20,,16,12,,,2,,,16,
booth_shot_lincoln.krn.diss_A.txt,,24,,4,,,,8,,,,
boring_the_leather.krn.diss_A.txt,,12,,16,,,,,,,4,
boswells_fancy.krn.diss_A.txt,4,48,,8,,,4,10,,,4,
bottom_of_the_punchbowl.krn.diss_A.txt,4,10,,12,12,,,8,,,12,
bound_to_have_a_little_fun.krn.diss_A.txt,,20,,,8,,,18,,,,
boy_in_the_gap.krn.diss_A.txt,8,12,,4,24,,,8,,,,
boyne_water.krn.diss_A.txt,16,18,12,,16,,,8,,12,,
boys_lament_for_his_dragon.krn.diss_A.txt,24,8,,12,8,,,6,,,6,
boys_my_moneys_all_gone.krn.diss_A.txt,26,12,64,,56,,8,4,,4,,
boys_of_antrim.krn.diss_A.txt,4,24,,12,12,,2,4,,,10,
