Tune_name,1,1+,1-,2,2+,2-,3,3+,3-,4,4+,5,5+,5-,6,6+,6-,7,7-,r,Other
a_jig.krn.B_scale_dist_dur.txt,63,,,11,,,20,,,24,,36,,,16,,,22,,,
aarons_key.krn.B_scale_dist_dur.txt,40,,,28,,,40,,,28,,28,,,4,,,,24,,
abes_retreat.krn.B_scale_dist_dur.txt,80,,,24,,,4,,,12,,68,,,16,,,,28,,
accidental.krn.B_scale_dist_dur.txt,46,,,14,,,44,,,44,,60,,,,16,,16,16,,
accordion_crimes.krn.B_scale_dist_dur.txt,48,,,42,,,26,,,,,70,,,34,,,12,,,
acorn_stomp_part2.krn.B_scale_dist_dur.txt,84,,,44,,,32,,,,,40,,,12,,,24,,,
across_the_black_river.krn.B_scale_dist_dur.txt,32,,,28,,,4,,,46,,56,,,,,,,26,,
adirondack.krn.B_scale_dist_dur.txt,64,,,46,,,42,,,12,,36,,,52,,,8,,,
after_midnite.krn.B_scale_dist_dur.txt,68,,,68,,,48,,,36,,24,,,,,,12,,,
aime_gagnon.krn.B_scale_dist_dur.txt,56,,,40,,,40,,,20,,72,,,8,,,20,,,
alices_reel.krn.B_scale_dist_dur.txt,32,,,6,,,72,,,40,,48,,,24,,,,34,,
all_the_rage.krn.B_scale_dist_dur.txt,92,,,24,,,12,,,,,32,,,20,,,4,,,
all_the_way_to_galway.krn.B_scale_dist_dur.txt,72,,,16,,,16,,,20,,80,,,32,,,20,,,
anchor_steam_reel.krn.B_scale_dist_dur.txt,48,,,68,,,56,,,40,,8,,,8,,,20,,,
andy_de_jarlis.krn.B_scale_dist_dur.txt,38,,,44,,,36,,,16,,16,,,28,,,16,,,
apple_blossom.krn.B_scale_dist_dur.txt,80,,,44,,,28,,,,,56,,,30,,,2,,,
april_storm.krn.B_scale_dist_dur.txt,60,,,36,,,4,,,20,,28,,,,4,,,40,,
argos_reel.krn.B_scale_dist_dur.txt,36,,,16,,,72,,,24,,72,,,36,,,,,,
arizona.krn.B_scale_dist_dur.txt,48,,,46,,,56,,,14,,36,,,32,,,24,,,
asher.krn.B_scale_dist_dur.txt,64,,,48,,,40,,,36,,32,,20,,,,,16,,
asturian_way.krn.B_scale_dist_dur.txt,52,,,28,,,16,,,32,,52,,,,,,,40,,
auld_fiddler.krn.B_scale_dist_dur.txt,26,,,44,,,22,,,26,4,114,,,4,,,16,,,
bad_hair.krn.B_scale_dist_dur.txt,20,,,12,,,20,,,8,,48,,,60,,,,8,,
baerendans.krn.B_scale_dist_dur.txt,52,,,44,,,60,,,52,,16,,,,,,,32,,
bank_of_ireland.krn.B_scale_dist_dur.txt,58,,,60,,,40,,,36,,40,,,,,,12,8,,
bank_of_turf.krn.B_scale_dist_dur.txt,34,,,32,,,36,,,24,,42,,,14,,,6,,,
banks_of_lough_gowna.krn.B_scale_dist_dur.txt,34,,,,,,28,,,28,,48,,,16,,,,38,,
banks_of_the_allan.krn.B_scale_dist_dur.txt,28,,,36,,,60,,,20,,24,,,24,,,,,,
banshee.krn.B_scale_dist_dur.txt,28,,,44,,,88,,,,,36,,,48,,,12,,,
bargenny_bowling_green.krn.B_scale_dist_dur.txt,64,,,42,,,18,,,20,,20,,,,,,,28,,
barrowburn_reel.krn.B_scale_dist_dur.txt,20,,,36,,,52,,,56,,60,,,16,,,16,,,
barters_hill.krn.B_scale_dist_dur.txt,40,,,40,,,48,,,32,,32,,,16,,,2,46,,
basket_of_yarn.krn.B_scale_dist_dur.txt,58,,,34,,,38,,,8,4,66,,,36,,,10,,,
batchelders.krn.B_scale_dist_dur.txt,32,,,16,,,80,,,52,,40,,,24,,,8,,,
battle_of_waterloo.krn.B_scale_dist_dur.txt,82,,,12,,,,10,,32,,52,,,,8,,,56,,
bay_of_fundy.krn.B_scale_dist_dur.txt,100,4,,18,,,50,,,24,,32,,,24,,,4,,,
beckys_mode.krn.B_scale_dist_dur.txt,44,,,28,,,64,,,28,,24,,,,16,,,52,,
been_to_the_east_been_to_the_west.krn.B_scale_dist_dur.txt,60,,,52,,,28,,,,,40,,,32,,,44,,,
behind_the_bush_in_the_garden.krn.B_scale_dist_dur.txt,36,,,22,,,52,,,22,,34,,,,,,,26,,
belfast_jig.krn.B_scale_dist_dur.txt,38,,,20,,,32,,,20,,28,,,30,,,22,,,
belknaps_march.krn.B_scale_dist_dur.txt,60,,,40,,,40,,,28,,48,,,24,,,16,,,
bell_cow.krn.B_scale_dist_dur.txt,32,,,28,,,44,,,32,,68,,,28,,,,8,,
belle_catherine_la.krn.B_scale_dist_dur.txt,28,,,4,,,20,,,20,12,108,,,48,,,8,,,
belle_gaspesie.krn.B_scale_dist_dur.txt,80,,,36,,,36,,,4,,68,,,16,,,4,8,,
belle_of_lexington.krn.B_scale_dist_dur.txt,92,,,36,,,36,,,,,44,,,44,,,,,,
bells_of_dover.krn.B_scale_dist_dur.txt,32,,,32,,,48,,,30,,30,,,6,,2,12,,,
beloeil_reel.krn.B_scale_dist_dur.txt,56,,,24,,,24,,,24,,56,,,36,,,40,,,
bentons_dream.krn.B_scale_dist_dur.txt,96,,,60,,,12,,,8,,8,,,12,,,,40,,
berkeley_reel.krn.B_scale_dist_dur.txt,62,,,70,,,30,,,4,,46,,,38,,,6,,,
bert_ferguson.krn.B_scale_dist_dur.txt,48,,,24,,,24,,,4,,36,,,52,,,4,,,
