Tune_name,do,re,me,mi,fa,fi,so,la,le,te,ti,Other
a_jig.krn.diss_B.txt,6,1,,4,16,,8,8,,,12,
aarons_key.krn.diss_B.txt,12,2,8,,12,,,,4,,,
abes_retreat.krn.diss_B.txt,36,4,,,,,40,16,,12,,
accidental.krn.diss_B.txt,,6,,,4,,,,,8,,
accordion_crimes.krn.diss_B.txt,18,18,,16,,,40,,,,16,
acorn_stomp_part2.krn.diss_B.txt,8,20,,8,,,,12,,,12,
across_the_black_river.krn.diss_B.txt,24,16,,,10,,12,,,2,,
adirondack.krn.diss_B.txt,4,8,,20,8,,4,24,,,8,
after_midnite.krn.diss_B.txt,16,12,,20,12,,,,,,4,
aime_gagnon.krn.diss_B.txt,12,12,,16,20,,,8,,,,
alices_reel.krn.diss_B.txt,,4,,,,,16,,,,,
all_the_rage.krn.diss_B.txt,12,4,,4,,,,,,,,
all_the_way_to_galway.krn.diss_B.txt,,8,,,8,,12,8,,,,
anchor_steam_reel.krn.diss_B.txt,16,10,,24,8,,8,,,,8,
andy_de_jarlis.krn.diss_B.txt,8,14,,,,,8,12,,,,
apple_blossom.krn.diss_B.txt,8,40,,4,,,8,22,,,2,
april_storm.krn.diss_B.txt,,24,,,12,,16,4,,12,,
argos_reel.krn.diss_B.txt,8,,,16,6,,12,28,,,,
arizona.krn.diss_B.txt,10,32,,6,2,,8,12,,,12,
asher.krn.diss_B.txt,8,48,16,,8,,,,,16,,20
asturian_way.krn.diss_B.txt,44,8,,12,4,,28,,,4,,
auld_fiddler.krn.diss_B.txt,,,,22,22,4,8,4,,,6,
bad_hair.krn.diss_B.txt,8,8,,,,,8,12,,,,
baerendans.krn.diss_B.txt,,20,4,,,,,,,,,
bank_of_ireland.krn.diss_B.txt,4,10,,12,36,,,,,,8,
bank_of_turf.krn.diss_B.txt,14,12,,16,16,,,10,,,4,
banks_of_lough_gowna.krn.diss_B.txt,20,,4,,24,,12,,,6,,
banks_of_the_allan.krn.diss_B.txt,10,12,,16,12,,4,,,,,
banshee.krn.diss_B.txt,20,20,,4,,,8,4,,,12,
bargenny_bowling_green.krn.diss_B.txt,4,12,2,,8,,,,,,,
barrowburn_reel.krn.diss_B.txt,,12,,4,28,,16,12,,,6,
barters_hill.krn.diss_B.txt,12,28,,4,16,,8,16,,4,2,
basket_of_yarn.krn.diss_B.txt,14,20,,10,4,4,20,12,,,8,
batchelders.krn.diss_B.txt,12,,,12,12,,,,,,,
battle_of_waterloo.krn.diss_B.txt,14,2,,,24,,8,6,,16,,
bay_of_fundy.krn.diss_B.txt,4,,,6,8,,,6,,,,4
beckys_mode.krn.diss_B.txt,24,2,24,,,,,16,,,,
been_to_the_east_been_to_the_west.krn.diss_B.txt,8,12,,28,,,4,4,,,32,
behind_the_bush_in_the_garden.krn.diss_B.txt,8,12,,,18,,4,,,2,,
belfast_jig.krn.diss_B.txt,4,,,16,4,,,10,,,14,
belknaps_march.krn.diss_B.txt,12,8,,16,12,,,16,,,8,
bell_cow.krn.diss_B.txt,,4,,4,,,12,28,,,,
belle_catherine_la.krn.diss_B.txt,,,,,20,12,8,24,,,,
belle_gaspesie.krn.diss_B.txt,,20,,8,4,,16,8,,8,4,
belle_of_lexington.krn.diss_B.txt,4,18,,16,,,8,28,,,,
bells_of_dover.krn.diss_B.txt,4,8,,16,6,,,,,,,
beloeil_reel.krn.diss_B.txt,28,4,,4,6,,,4,,,,
bentons_dream.krn.diss_B.txt,24,12,,,,,,8,,,,
berkeley_reel.krn.diss_B.txt,34,32,,12,2,,,10,,,2,
bert_ferguson.krn.diss_B.txt,12,4,,,4,,8,8,,,,
beth_cohens.krn.diss_B.txt,,,,12,8,,16,,8,12,,16
bibb_county_hoedown.krn.diss_B.txt,4,14,,2,12,,,12,,,8,
biddy_from_sligo.krn.diss_B.txt,4,6,,4,30,,44,,,,,
big_bear.krn.diss_B.txt,4,8,2,6,8,,8,10,,4,18,
big_liza_jane.krn.diss_B.txt,8,16,,20,12,,4,14,,,4,
big_scioty.krn.diss_B.txt,12,8,,16,,,8,14,,,26,
bijoux_reel.krn.diss_B.txt,4,4,,12,,,12,6,,,8,
bill_collins_jig.krn.diss_B.txt,4,16,,,2,,4,16,,,,
billy_in_the_lowground.krn.diss_B.txt,,36,,12,,,8,12,,,,
billy_in_the_lowlands.krn.diss_B.txt,4,24,,4,,,16,28,,,4,
bird_in_the_bush.krn.diss_B.txt,4,12,,32,6,,8,12,,,24,
black_cat.krn.diss_B.txt,2,20,,20,,,16,2,,,6,8
black_cat_jig.krn.diss_B.txt,,10,12,,10,4,4,,,,,
black_eyed_susie.krn.diss_B.txt,10,24,,10,,,4,8,,,,
black_friday.krn.diss_B.txt,8,12,4,,24,,12,,,,,
black_jack_grove.krn.diss_B.txt,8,40,,,4,,8,4,,,4,
black_rock.krn.diss_B.txt,12,,8,4,,,8,10,,2,,4
black_scoter.krn.diss_B.txt,8,32,4,,8,,4,,4,34,,
blackberry_blossoms.krn.diss_B.txt,,16,,8,32,,,4,,,,
blair_atholl.krn.diss_B.txt,12,20,4,,8,,8,,,8,2,
blind_mans_reel.krn.diss_B.txt,,16,,,9,,,8,,,8,4
bloom_of_youth.krn.diss_B.txt,2,,,14,8,,2,6,,,,
blue_bonnets_over_the_border.krn.diss_B.txt,14,8,,28,,,16,12,,,8,
blue_earth_special.krn.diss_B.txt,14,30,6,,14,,,,,16,,
blue_jig.krn.diss_B.txt,,32,24,,4,,,16,,16,,
